Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0603_1608Metric,109.855,-74.93,270.0,bottom
C3,C,C_0603_1608Metric,109.855,-67.31,270.0,bottom
C4,C,C_0603_1608Metric,107.315,-74.93,270.0,bottom
C5,C,C_0603_1608Metric,107.315,-67.31,270.0,bottom
C6,C,C_0603_1608Metric,104.775,-74.93,270.0,bottom
C7,C,C_0603_1608Metric,104.775,-67.31,270.0,bottom
C8,C,C_0603_1608Metric,102.235,-74.93,270.0,bottom
C9,C,C_0603_1608Metric,102.235,-67.31,270.0,bottom
C10,C,C_0603_1608Metric,99.695,-74.93,270.0,bottom
C11,C,C_0603_1608Metric,99.695,-67.31,270.0,bottom
C12,C,C_0603_1608Metric,97.155,-74.93,270.0,bottom
C13,C,C_0603_1608Metric,97.155,-67.31,270.0,bottom
C14,C,C_0603_1608Metric,94.615,-74.93,270.0,bottom
C15,C,C_0603_1608Metric,94.615,-67.31,270.0,bottom
C16,C,C_0603_1608Metric,92.075,-74.93,270.0,bottom
C17,C,C_0603_1608Metric,92.075,-67.31,270.0,bottom
C18,C,C_0603_1608Metric,105.965,-53.886,90.0,top
C19,C,C_0603_1608Metric,72.115043,-63.764975,135.0,top
C20,C,C_0603_1608Metric,55.165,-94.686,180.0,top
C21,C,C_0603_1608Metric,65.043975,-128.535956,-135.0,top
C22,C,C_0603_1608Metric,95.965,-145.486,-90.0,top
C23,C,C_0603_1608Metric,129.814956,-135.607024,-45.0,top
C24,C,C_0603_1608Metric,146.765,-104.686,0.0,top
C25,C,C_0603_1608Metric,136.886024,-70.836043,45.0,top
D2,~,WS2812B,100.965,-53.886,0.0,top
D3,~,WS2812B,83.438098,-57.372317,22.5,top
D4,~,WS2812B,68.579509,-67.300509,45.0,top
D5,~,WS2812B,58.651317,-82.159098,67.5,top
D6,~,WS2812B,55.165,-99.686,90.0,top
D7,~,WS2812B,58.651317,-117.212901,112.5,top
D8,~,WS2812B,68.579509,-132.07149,135.0,top
D9,~,WS2812B,83.438098,-141.999682,157.5,top
D10,~,WS2812B,100.965,-145.486,180.0,top
D11,~,WS2812B,118.491901,-141.999682,-157.5,top
D12,~,WS2812B,133.35049,-132.07149,-135.0,top
D13,~,WS2812B,143.278682,-117.212901,-112.5,top
D14,~,WS2812B,146.765,-99.686,-90.0,top
D15,~,WS2812B,143.278682,-82.159098,-67.5,top
D16,~,WS2812B,133.35049,-67.300509,-45.0,top
D17,~,WS2812B,118.491901,-57.372317,-22.5,top
J1,Conn_01x20_Male,IDC-Header_2x10_P2.54mm_Vertical,100.965,-82.4325,90.0,bottom
R1,R,R_0603_1608Metric,87.215,-75.705,0.0,top
R2,R,R_0603_1608Metric,109.855,-71.755,270.0,bottom
R3,R,R_0603_1608Metric,109.855,-64.135,270.0,bottom
R4,R,R_0603_1608Metric,107.315,-71.755,270.0,bottom
R5,R,R_0603_1608Metric,107.315,-64.135,270.0,bottom
R6,R,R_0603_1608Metric,104.775,-71.755,270.0,bottom
R7,R,R_0603_1608Metric,104.775,-64.135,270.0,bottom
R8,R,R_0603_1608Metric,102.235,-71.755,270.0,bottom
R9,R,R_0603_1608Metric,102.235,-64.135,270.0,bottom
R10,R,R_0603_1608Metric,99.695,-71.755,270.0,bottom
R11,R,R_0603_1608Metric,99.695,-64.135,270.0,bottom
R12,R,R_0603_1608Metric,97.155,-71.755,270.0,bottom
R13,R,R_0603_1608Metric,97.155,-64.135,270.0,bottom
R14,R,R_0603_1608Metric,94.615,-71.755,270.0,bottom
R15,R,R_0603_1608Metric,94.615,-64.135,270.0,bottom
R16,R,R_0603_1608Metric,92.075,-71.755,270.0,bottom
R17,R,R_0603_1608Metric,92.075,-64.135,270.0,bottom
U1,TSSP58038,TSSP58038,100.965,-57.211,180.0,bottom
U2,TSSP58038,TSSP58038,84.71052,-60.444216,157.5,bottom
U3,TSSP58038,TSSP58038,70.930638,-69.651638,135.0,bottom
U4,TSSP58038,TSSP58038,61.723216,-83.43152,112.5,bottom
U5,TSSP58038,TSSP58038,58.49,-99.686,90.0,bottom
U6,TSSP58038,TSSP58038,61.723216,-115.940478,67.5,bottom
U7,TSSP58038,TSSP58038,70.930638,-129.72036,45.0,bottom
U8,TSSP58038,TSSP58038,84.71052,-138.927782,22.5,bottom
U9,TSSP58038,TSSP58038,100.965,-142.161,0.0,bottom
U10,TSSP58038,TSSP58038,117.219478,-138.927782,337.5,bottom
U11,TSSP58038,TSSP58038,130.99936,-129.72036,315.0,bottom
U12,TSSP58038,TSSP58038,140.206782,-115.940478,292.5,bottom
U13,TSSP58038,TSSP58038,143.44,-99.686,270.0,bottom
U14,TSSP58038,TSSP58038,140.206782,-83.43152,247.5,bottom
U15,TSSP58038,TSSP58038,130.99936,-69.651638,225.0,bottom
U16,TSSP58038,TSSP58038,117.219478,-60.444216,202.5,bottom
