Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R24,R,R_0603_1608Metric,163.65,-160.0,180.0,top
R25,R,R_0603_1608Metric,147.5,-92.2475,0.0,top
R26,R,R_0603_1608Metric,147.5,-103.2475,0.0,top
R27,R,R_0603_1608Metric,147.5,-114.2475,0.0,top
R28,R,R_0603_1608Metric,147.5,-125.2475,0.0,top
R29,R,R_0603_1608Metric,243.0,-146.7475,-90.0,top
R30,R,R_0603_1608Metric,232.0,-146.7475,-90.0,top
R31,R,R_0603_1608Metric,221.0,-146.7475,-90.0,top
R32,R,R_0603_1608Metric,210.0,-146.7475,-90.0,top
R33,R,R_0603_1608Metric,199.0,-146.7475,-90.0,top
R34,R,R_0603_1608Metric,188.0,-146.7475,-90.0,top
R35,R,R_0603_1608Metric,152.5,-242.2475,180.0,top
R36,R,R_0603_1608Metric,152.5,-231.2475,180.0,top
R37,R,R_0603_1608Metric,152.5,-220.2475,180.0,top
R38,R,R_0603_1608Metric,152.5,-209.2475,180.0,top
R39,R,R_0603_1608Metric,152.5,-198.2475,180.0,top
R40,R,R_0603_1608Metric,152.5,-187.2475,180.0,top
R41,R,R_0603_1608Metric,57.0,-151.7475,90.0,top
R42,R,R_0603_1608Metric,68.0,-151.7475,90.0,top
R43,R,R_0603_1608Metric,79.0,-151.7475,90.0,top
R44,R,R_0603_1608Metric,90.0,-151.7475,90.0,top
R45,R,R_0603_1608Metric,101.0,-151.7475,90.0,top
R46,R,R_0603_1608Metric,112.0,-151.7475,90.0,top
