Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,127.04,-78.9875,135.0,top
R1,330,R_0805_2012Metric,129.24,-133.2875,180.0,top
R2,330,R_0805_2012Metric,129.24,-140.2875,0.0,top
R3,330,R_0805_2012Metric,129.24,-146.2875,0.0,top
R4,330,R_0805_2012Metric,129.24,-152.2875,0.0,top
R5,1K,R_0805_2012Metric,76.24,-142.7875,0.0,top
R6,10K,R_0805_2012Metric,72.24,-142.7875,0.0,top
R7,1K,R_0805_2012Metric,76.24,-152.7875,0.0,top
R8,10K,R_0805_2012Metric,72.24,-152.7875,0.0,top
R9,1K,R_0805_2012Metric,76.24,-162.7875,0.0,top
R10,10K,R_0805_2012Metric,72.24,-162.7875,0.0,top
R11,1K,R_0805_2012Metric,127.24,-164.2875,180.0,top
R12,10K,R_0805_2012Metric,131.24,-164.2875,180.0,top
R13,1K,R_0805_2012Metric,80.228415,-78.327881,0.0,top
