Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C,C_0805_2012Metric,38.75,-64.355,90.0,top
C3,C,C_0805_2012Metric,41.0,-64.355,90.0,top
C5,C,C_0805_2012Metric,71.25,-60.645,-90.0,top
C6,C,C_0805_2012Metric,69.0,-60.645,-90.0,top
R1,100kR,R_0805_2012Metric,32.5,-27.4125,90.0,top
R2,100kR,R_0805_2012Metric,32.5,-38.4125,90.0,top
R3,100kR,R_0805_2012Metric,32.5,-49.4125,90.0,top
R4,100kR,R_0805_2012Metric,32.5,-60.4125,90.0,top
R5,100kR,R_0805_2012Metric,32.5,-71.4125,90.0,top
R6,100kR,R_0805_2012Metric,40.8,-30.5875,-90.0,top
R7,100kR,R_0805_2012Metric,40.8,-41.5875,-90.0,top
R8,100kR,R_0805_2012Metric,40.8,-52.5875,-90.0,top
R9,100kR,R_0805_2012Metric,38.75,-74.5875,-90.0,top
R10,100kR,R_0805_2012Metric,41.0,-74.5875,-90.0,top
R11,10kR,R_0805_2012Metric,32.5,-31.4125,-90.0,top
R12,10kR,R_0805_2012Metric,32.5,-42.5,-90.0,top
R13,10kR,R_0805_2012Metric,32.5,-75.4125,-90.0,top
R14,10kR,R_0805_2012Metric,41.0,-70.5875,90.0,top
R15,10kR,R_0805_2012Metric,38.75,-70.5875,90.0,top
R16,10kR,R_0805_2012Metric,40.8,-48.5875,90.0,top
R17,330Ω,R_0805_2012Metric,32.5,-64.4125,90.0,top
R18,330Ω,R_0805_2012Metric,32.5,-53.4125,90.0,top
R21,100kR,R_0805_2012Metric,77.5,-97.5875,-90.0,top
R22,100kR,R_0805_2012Metric,77.5,-86.5875,-90.0,top
R23,100kR,R_0805_2012Metric,77.5,-75.5875,-90.0,top
R24,100kR,R_0805_2012Metric,77.5,-64.5875,-90.0,top
R25,100kR,R_0805_2012Metric,77.5,-53.5875,-90.0,top
R26,100kR,R_0805_2012Metric,69.2,-94.4125,90.0,top
R27,100kR,R_0805_2012Metric,69.2,-83.4125,90.0,top
R28,100kR,R_0805_2012Metric,69.2,-72.4125,90.0,top
R29,100kR,R_0805_2012Metric,71.25,-50.4125,90.0,top
R30,100kR,R_0805_2012Metric,69.0,-50.4125,90.0,top
R31,10kR,R_0805_2012Metric,77.5,-93.5875,90.0,top
R32,10kR,R_0805_2012Metric,77.5,-82.5,90.0,top
R33,10kR,R_0805_2012Metric,77.5,-49.5875,90.0,top
R34,10kR,R_0805_2012Metric,69.0,-54.4125,-90.0,top
R35,10kR,R_0805_2012Metric,71.25,-54.4125,-90.0,top
R36,10kR,R_0805_2012Metric,69.2,-76.4125,-90.0,top
R37,150Ω,R_0805_2012Metric,77.5,-60.5875,-90.0,top
R38,470Ω,R_0805_2012Metric,77.5,-71.5875,-90.0,top
R41,1K,R_0805_2012Metric,35.0,-82.5,0.0,top
R42,10K,R_0805_2012Metric,35.0,-80.0,180.0,top
