Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,95.75,-91.6875,-90.0,top
C2,4.7uF,C_0603_1608Metric,97.5,-91.6875,-90.0,top
C3,0.1uF,C_0603_1608Metric,99.25,-91.6875,-90.0,top
C4,22nF,C_0603_1608Metric,105.675,-87.9375,180.0,top
C5,0.1uF,C_0603_1608Metric,101.0,-91.6875,-90.0,top
C6,220nF,C_0603_1608Metric,99.175,-85.4375,180.0,top
C7,22nF,C_0603_1608Metric,105.675,-108.9375,180.0,top
C8,220nF,C_0603_1608Metric,99.175,-106.4375,180.0,top
D1,D_Schottky_AKA,TO-252-2,89.175,-94.4375,0.0,top
M1,LED,LED_0805_2012Metric,102.152585,-62.512133,90.0,top
M1,LED,LED_0805_2012Metric,98.0,-72.6875,270.0,bottom
M2,LED,LED_0805_2012Metric,102.152585,-126.362867,90.0,top
M2,LED,LED_0805_2012Metric,100.5,-72.6875,270.0,bottom
R1,2.49K,R_0603_1608Metric,106.925,-95.4375,0.0,top
R2,10K,R_0603_1608Metric,106.925,-91.4375,180.0,top
R4,20K,R_0603_1608Metric,106.925,-97.4375,180.0,top
R5,2.49K,R_0603_1608Metric,113.675,-93.4375,180.0,top
R6,330,R_0603_1608Metric,100.5,-115.9375,-90.0,top
R7,330,R_0603_1608Metric,98.0,-72.6875,-90.0,top
R8,330,R_0603_1608Metric,100.5,-72.6875,-90.0,top
R9,10K,R_0603_1608Metric,113.675,-97.4375,0.0,top
R11,20K,R_0603_1608Metric,113.675,-91.4375,0.0,top
U1,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,105.675,-83.962133,180.0,top
U2,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,105.7875,-104.9375,180.0,top
