Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,104.4625,-74.5625,90.0,top
C2,4.7uF,C_0603_1608Metric,106.4625,-74.5625,90.0,top
C3,0.1uF,C_0603_1608Metric,108.4425,-74.5625,90.0,top
C4,22nF,C_0603_1608Metric,102.9625,-81.437867,180.0,top
C5,0.1uF,C_0603_1608Metric,110.4625,-74.5625,90.0,top
C6,220nF,C_0603_1608Metric,108.825,-83.4875,90.0,top
C7,22nF,C_0603_1608Metric,102.9625,-59.9875,180.0,top
C8,220nF,C_0603_1608Metric,108.7125,-62.7825,90.0,top
D1,D_Schottky_AKA,TO-252-2,117.2225,-74.5625,180.0,top
R1,2.49K,R_0603_1608Metric,94.325,-86.4875,0.0,top
R2,10K,R_0603_1608Metric,94.325,-82.4875,180.0,top
R4,20K,R_0603_1608Metric,94.325,-88.4875,180.0,top
R5,2.49K,R_0603_1608Metric,94.325,-75.4875,0.0,top
R6,330,R_0603_1608Metric,107.5,-52.5625,90.0,top
R7,330,R_0603_1608Metric,108.0,-94.8875,90.0,top
R8,330,R_0603_1608Metric,108.0,-98.5625,90.0,top
R9,10K,R_0603_1608Metric,94.325,-71.4875,180.0,top
R11,20K,R_0603_1608Metric,94.325,-77.4875,180.0,top
U1,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,102.9625,-85.3625,0.0,top
U2,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,102.9625,-63.7825,0.0,top
