Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1u,C_0603_1608Metric,93.614645,-106.114645,0.0,bottom
C3,0.33u,C_0603_1608Metric,138.814645,-80.714645,90.0,bottom
C4,0.33u,C_0603_1608Metric,67.614645,-81.914645,90.0,bottom
C7,10uF,C_0603_1608Metric,102.814645,-106.114645,180.0,bottom
D3,D_Zener,D_SOD-123,103.999946,-99.711112,270.0,bottom
R1,330,R_0603_1608Metric,102.414645,-114.514645,270.0,bottom
R2,39K,R_0603_1608Metric,140.693325,-80.714645,270.0,bottom
R3,39K,R_0603_1608Metric,65.814645,-81.914645,270.0,bottom
R4,100K,R_0603_1608Metric,98.214645,-106.114645,0.0,bottom
R5,10K,R_0603_1608Metric,128.165362,-101.485395,135.0,bottom
