Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,-8.31446,68.496044,353.077,bottom
C10,100nF,C_0603_1608Metric,66.998373,16.508214,76.157,bottom
C11,100nF,C_0603_1608Metric,51.652485,45.751464,48.465,bottom
C12,100nF,C_0603_1608Metric,24.47446,64.513632,20.772999999999996,bottom
C13,100nF,C_0603_1608Metric,-66.992263,16.512891,283.847,bottom
C14,100nF,C_0603_1608Metric,0.00247,-82.201479,180.0,bottom
C15,100nF,C_0603_1608Metric,82.201936,-0.000879,90.0,bottom
C16,100nF,C_0603_1608Metric,-85.823064,-18.051479,180.0,bottom
C17,100nF,C_0603_1608Metric,-85.823064,-16.551479,180.0,bottom
C18,100nF,C_0603_1608Metric,-82.8,-16.551479,180.0,bottom
C19,100nF,C_0603_1608Metric,-85.823064,-15.051479,180.0,bottom
C2,100nF,C_0603_1608Metric,-24.464998,64.51534,339.231,bottom
C21,10uF,C_0805_2012Metric,-78.158064,-8.676479,90.0,bottom
C22,10uF,C_0805_2012Metric,-80.408064,-8.676479,90.0,bottom
C3,100nF,C_0603_1608Metric,-51.644333,45.75507,311.539,bottom
C4,100nF,C_0603_1608Metric,-82.165251,0.010999,270.0,bottom
C5,100nF,C_0603_1608Metric,-61.094719,-32.065383,242.309,bottom
C6,100nF,C_0603_1608Metric,-39.19559,-56.785661,214.617,bottom
C7,100nF,C_0603_1608Metric,-8.316851,-68.497512,186.925,bottom
C8,100nF,C_0603_1608Metric,39.196583,-56.788397,145.387,bottom
C9,100nF,C_0603_1608Metric,61.097438,-32.069649,117.695,bottom
R1,Line-PDWN,R_0603_1608Metric,3.216989,66.921965,92.75,bottom
R10,Line-PDWN,R_0603_1608Metric,-53.248883,-40.661607,322.63599999999997,bottom
R11,Line-PDWN,R_0603_1608Metric,-46.783,-47.960456,314.28999999999996,bottom
R12,Line-PDWN,R_0603_1608Metric,-28.253606,-60.751145,294.944,bottom
R13,Line-PDWN,R_0603_1608Metric,-19.136425,-64.209158,286.598,bottom
R14,Line-PDWN,R_0603_1608Metric,3.214653,-66.92383,267.252,bottom
R15,Line-PDWN,R_0603_1608Metric,12.894541,-65.748835,258.906,bottom
R16,Line-PDWN,R_0603_1608Metric,28.254273,-60.753117,245.06,bottom
R17,Line-PDWN,R_0603_1608Metric,46.784559,-47.963722,225.714,bottom
R18,Line-PDWN,R_0603_1608Metric,53.250953,-40.665324,217.368,bottom
R19,Line-PDWN,R_0603_1608Metric,63.715285,-20.729481,198.022,bottom
R2,Line-PDWN,R_0603_1608Metric,-12.891927,65.746631,78.904,bottom
R20,Line-PDWN,R_0603_1608Metric,66.824573,-4.879845,184.176,bottom
R21,Line-PDWN,R_0603_1608Metric,66.825084,4.871094,175.83,bottom
R22,Line-PDWN,R_0603_1608Metric,61.438015,26.732467,156.484,bottom
R23,Line-PDWN,R_0603_1608Metric,56.907026,35.366758,148.138,bottom
R24,Line-PDWN,R_0603_1608Metric,41.977618,52.220628,128.792,bottom
R25,Line-PDWN,R_0603_1608Metric,33.9531,57.7603,120.446,bottom
R26,Line-PDWN,R_0603_1608Metric,12.901425,65.745731,101.1,bottom
R27,Line-PDWN2,R_0603_1608Metric,-3.267,76.813139,275.0,bottom
R28,Line-PDWN2,R_0603_1608Metric,-92.910149,-4.057582,177.5,bottom
R29,Line-PDWN2,R_0603_1608Metric,4.057939,-92.912464,87.5,bottom
R3,Line-PDWN,R_0603_1608Metric,-33.944159,57.762669,59.55800000000001,bottom
R30,Line-PDWN2,R_0603_1608Metric,92.912821,4.055624,357.5,bottom
R31,75,R_0603_1608Metric,3.073054,63.92542,272.75,bottom
R32,75,R_0603_1608Metric,-12.314567,62.802713,258.904,bottom
R33,75,R_0603_1608Metric,-32.424162,55.176242,239.558,bottom
R34,75,R_0603_1608Metric,-40.089743,49.88515,231.212,bottom
R35,75,R_0603_1608Metric,-54.351794,33.786927,211.86599999999999,bottom
R36,75,R_0603_1608Metric,-58.680478,25.539549,203.52,bottom
R37,75,R_0603_1608Metric,-63.827792,4.657403,184.174,bottom
R38,75,R_0603_1608Metric,-63.827955,-4.656928,175.828,bottom
