Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1uF,C_0603_1608Metric,-88.82,-20.562238,-90.0,top
C3,0.1uF,C_0603_1608Metric,-90.720001,-20.562238,-90.0,top
C4,0.1uF,C_0603_1608Metric,-92.72,-20.562238,-90.0,top
C5,10uF,C_0603_1608Metric,-78.6,-12.25,180.0,bottom
R1,75,R_0603_1608Metric,-3.272087,62.414821,87.0,bottom
R10,75,R_0603_1608Metric,-49.50895,-38.146892,322.3846158,bottom
R11,75,R_0603_1608Metric,-38.94108,-48.886405,308.538462,bottom
R12,75,R_0603_1608Metric,-31.902751,-53.744463,300.6923082,bottom
R13,75,R_0603_1608Metric,-11.761872,-61.383023,280.8461544,bottom
R14,75,R_0603_1608Metric,3.269908,-62.413871,267.0000006,bottom
R15,75,R_0603_1608Metric,11.759727,-61.383019,259.1538468,bottom
R16,75,R_0603_1608Metric,31.900626,-53.744575,239.307693,bottom
R17,75,R_0603_1608Metric,43.835653,-44.548261,225.4615392,bottom
R18,75,R_0603_1608Metric,53.223048,-32.762937,211.6153854,bottom
R19,75,R_0603_1608Metric,57.19746,-25.190389,203.7692316,bottom
R2,75,R_0603_1608Metric,-11.761836,61.383978,79.1538462,bottom
R20,75,R_0603_1608Metric,62.35246,-4.275595,183.9230778,bottom
R21,75,R_0603_1608Metric,62.352495,4.276548,176.076924,bottom
R22,75,R_0603_1608Metric,57.197426,25.191342,156.2307702,bottom
R23,75,R_0603_1608Metric,49.506773,38.147841,142.3846164,bottom
R24,75,R_0603_1608Metric,38.938902,48.887355,128.5384626,bottom
R25,75,R_0603_1608Metric,31.900663,53.74553,120.6923088,bottom
R26,75,R_0603_1608Metric,11.759694,61.383974,100.846155,bottom
R27,75,R_0603_1608Metric,25.977092,83.755332,49.5,bottom
R28,75,R_0603_1608Metric,12.35985,76.129309,72.0,bottom
R29,75,R_0603_1608Metric,-3.139193,74.294877,94.5,bottom
R3,75,R_0603_1608Metric,-31.902806,53.745525,59.30769239999999,bottom
R30,75,R_0603_1608Metric,-18.16045,78.531308,117.0,bottom
R31,75,R_0603_1608Metric,-25.978751,83.755331,130.5,bottom
R32,75,R_0603_1608Metric,-87.693306,20.245595,13.0,bottom
R33,75,R_0603_1608Metric,-89.585658,8.626118,5.5,bottom
R34,75,R_0603_1608Metric,-89.945174,-3.140955,358.0,bottom
R35,75,R_0603_1608Metric,-88.765704,-14.854285,350.5,bottom
R36,75,R_0603_1608Metric,-86.067428,-26.313453,343.0,bottom
R37,75,R_0603_1608Metric,-20.245595,-87.693306,283.0,bottom
R38,75,R_0603_1608Metric,-8.626118,-89.585658,275.5,bottom
R39,75,R_0603_1608Metric,3.140955,-89.945174,268.0,bottom
R4,75,R_0603_1608Metric,-43.837833,44.549211,45.46153860000001,bottom
R40,75,R_0603_1608Metric,14.854285,-88.765704,260.5,bottom
