Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22n,C_0603_1608Metric,-22.025,4.8375,180.0,top
C2,220n,C_0603_1608Metric,-25.025,4.8375,180.0,top
C3,4.7u,C_0603_1608Metric,7.675,-17.4825,180.0,top
C4,4.7u,C_0603_1608Metric,7.675,-16.0125,180.0,top
C7,0.1u,C_0603_1608Metric,7.675,-13.0125,180.0,top
C8,0.1u,C_0603_1608Metric,7.675,-11.5125,180.0,top
C9,22n,C_0603_1608Metric,-22.025,-17.6625,180.0,top
C10,220n,C_0603_1608Metric,-25.025,-17.6625,180.0,top
C11,22n,C_0603_1608Metric,22.375,-4.8625,0.0,top
C12,220n,C_0603_1608Metric,25.375,-4.8625,0.0,top
C13,22n,C_0603_1608Metric,22.375,17.6375,0.0,top
C14,220n,C_0603_1608Metric,25.375,17.6375,0.0,top
J8,Conn_01x15_Pin,TE_1-84953-5_1x15-1MP_P1.0mm_Horizontal,0.175,2.2375,0.0,top
R1,330,R_0603_1608Metric,7.425,6.7375,0.0,top
R3,10k,R_0603_1608Metric,-21.075,17.7375,90.0,top
R4,2.49k,R_0603_1608Metric,-24.075,17.7375,90.0,top
R7,20k,R_0603_1608Metric,-25.575,17.7375,90.0,top
R8,2.49k,R_0603_1608Metric,-24.075,-4.7625,90.0,top
R9,10k,R_0603_1608Metric,-21.075,-4.7625,90.0,top
R11,20k,R_0603_1608Metric,-25.575,-4.7625,90.0,top
R12,2.49k,R_0603_1608Metric,24.425,-17.7625,-90.0,top
R13,10k,R_0603_1608Metric,21.425,-17.7625,-90.0,top
R15,20k,R_0603_1608Metric,25.925,-17.7625,-90.0,top
R16,2.49k,R_0603_1608Metric,24.425,4.7375,-90.0,top
R17,10k,R_0603_1608Metric,21.425,4.7375,-90.0,top
R19,20k,R_0603_1608Metric,25.925,4.7375,-90.0,top
R20,10k,R_0603_1608Metric,32.675,0.7375,0.0,top
R21,10k,R_0603_1608Metric,32.675,2.2375,0.0,top
R22,10k,R_0603_1608Metric,32.675,-2.2625,0.0,top
R23,10k,R_0603_1608Metric,32.675,-0.7625,0.0,top
U1,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,-24.825,10.4875,-90.0,top
U2,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,-24.825,-12.0125,-90.0,top
U3,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,25.175,-10.5125,90.0,top
U4,~,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm,25.175,11.9875,90.0,top
