Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,0.33uF,C_0603_1608Metric,3.5,46.0,180.0,bottom
C4,0.33uF,C_0603_1608Metric,-14.369859,43.83785,157.5,bottom
C5,0.33uF,C_0603_1608Metric,-30.052037,35.001785,135.0,bottom
C6,0.33uF,C_0603_1608Metric,-41.159066,20.837015,112.5,bottom
C7,0.33uF,C_0603_1608Metric,-46.0,3.5,90.0,bottom
C8,0.33uF,C_0603_1608Metric,-43.83785,-14.369859,67.5,bottom
C9,0.33uF,C_0603_1608Metric,-35.001785,-30.052037,45.0,bottom
C10,0.33uF,C_0603_1608Metric,-20.837015,-41.159066,22.5,bottom
C11,0.33uF,C_0603_1608Metric,-3.5,-46.0,0.0,bottom
C12,0.33uF,C_0603_1608Metric,14.369859,-43.83785,337.5,bottom
C13,0.33uF,C_0603_1608Metric,30.052037,-35.001785,315.0,bottom
C14,0.33uF,C_0603_1608Metric,41.159066,-20.837015,292.5,bottom
C15,0.33uF,C_0603_1608Metric,46.0,-3.5,270.0,bottom
C16,0.33uF,C_0603_1608Metric,43.83785,14.369859,247.5,bottom
C17,0.33uF,C_0603_1608Metric,35.001785,30.052037,225.0,bottom
C18,0.33uF,C_0603_1608Metric,20.837015,41.159066,202.5,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.0,53.0,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-20.282222,48.965615,22.5,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-37.476659,37.476659,45.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-48.965615,20.282222,67.5,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-53.0,-0.0,90.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-48.965615,-20.282222,112.5,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-37.476659,-37.476659,135.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,-20.282222,-48.965615,157.5,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,0.0,-53.0,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.282222,-48.965615,-157.5,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,37.476659,-37.476659,-135.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.965615,-20.282222,-112.5,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,53.0,-0.0,-90.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,48.965615,20.282222,-67.5,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,37.476659,37.476659,-45.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,20.282222,48.965615,-22.5,top
J3,Conn_01x15_Pin,1.0K-FX-15PWB,0.0,-33.4,0.0,bottom
R1,330,R_0603_1608Metric,36.795,-16.5,0.0,bottom
R2,330,R_0603_1608Metric,36.75,-21.05,0.0,bottom
R3,1K,R_0603_1608Metric,11.56,18.0,270.0,bottom
R4,1K,R_0603_1608Metric,11.56,13.825,90.0,bottom
R5,10K,R_0603_1608Metric,11.56,9.25,-90.0,top
R6,39K,R_0603_1608Metric,-3.5,46.0,180.0,bottom
R7,39K,R_0603_1608Metric,-20.837015,41.159066,157.5,bottom
R8,39K,R_0603_1608Metric,-35.001785,30.052037,135.0,bottom
R9,39K,R_0603_1608Metric,-43.83785,14.369859,112.5,bottom
R10,39K,R_0603_1608Metric,-46.0,-3.5,90.0,bottom
R11,39K,R_0603_1608Metric,-41.159066,-20.837015,67.5,bottom
R12,39K,R_0603_1608Metric,-30.052037,-35.001785,45.0,bottom
R13,39K,R_0603_1608Metric,-14.369859,-43.83785,22.5,bottom
R14,39K,R_0603_1608Metric,3.5,-46.0,0.0,bottom
R15,39K,R_0603_1608Metric,20.837015,-41.159066,337.5,bottom
R16,39K,R_0603_1608Metric,35.001785,-30.052037,315.0,bottom
R17,39K,R_0603_1608Metric,43.83785,-14.369859,292.5,bottom
R18,39K,R_0603_1608Metric,46.0,3.5,270.0,bottom
R19,39K,R_0603_1608Metric,41.159066,20.837015,247.5,bottom
R20,39K,R_0603_1608Metric,30.052037,35.001785,225.0,bottom
R21,39K,R_0603_1608Metric,14.369859,43.83785,202.5,bottom
U4,TSSP58038,Vishay_MINICAST-3Pin,0.0,49.0,180.0,bottom
U5,TSSP58038,Vishay_MINICAST-3Pin,-18.851091,45.170495,157.5,bottom
U6,TSSP58038,Vishay_MINICAST-3Pin,-34.78281,34.513654,135.0,bottom
U7,TSSP58038,Vishay_MINICAST-3Pin,-45.3697,18.651886,112.5,bottom
U8,TSSP58038,Vishay_MINICAST-3Pin,-49.0,-0.0,90.0,bottom
U9,TSSP58038,Vishay_MINICAST-3Pin,-45.170495,-18.85109,67.5,bottom
U10,TSSP58038,Vishay_MINICAST-3Pin,-34.513654,-34.78281,45.0,bottom
U11,TSSP58038,Vishay_MINICAST-3Pin,-18.651886,-45.369699,22.5,bottom
U12,TSSP58038,Vishay_MINICAST-3Pin,0.0,-49.0,0.0,bottom
U13,TSSP58038,Vishay_MINICAST-3Pin,18.85109,-45.170494,337.5,bottom
U14,TSSP58038,Vishay_MINICAST-3Pin,34.78281,-34.513654,315.0,bottom
U15,TSSP58038,Vishay_MINICAST-3Pin,45.369699,-18.651885,292.5,bottom
U16,TSSP58038,Vishay_MINICAST-3Pin,49.0,-0.0,270.0,bottom
U17,TSSP58038,Vishay_MINICAST-3Pin,45.170494,18.851091,247.5,bottom
U18,TSSP58038,Vishay_MINICAST-3Pin,34.513654,34.78281,225.0,bottom
U19,TSSP58038,Vishay_MINICAST-3Pin,18.651885,45.3697,202.5,bottom
