Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,-5.13496,48.855889,96.0,top
C10,0.1uF,C_0603_1608Metric,23.440425,-43.17189,-61.5,top
C11,0.1uF,C_0603_1608Metric,38.177294,-30.915365,-39.0,top
C12,0.1uF,C_0603_1608Metric,47.10202,-13.952255,-16.5,top
C13,0.1uF,C_0603_1608Metric,48.855889,5.13496,6.0,top
C14,0.1uF,C_0603_1608Metric,43.17189,23.440425,28.5,top
C15,0.1uF,C_0603_1608Metric,30.915365,38.177294,51.0,top
C16,0.1uF,C_0603_1608Metric,13.952255,47.10202,73.5,top
C2,0.1uF,C_0603_1608Metric,-23.440425,43.17189,118.5,top
C3,0.1uF,C_0603_1608Metric,-38.177294,30.915365,141.0,top
C4,0.1uF,C_0603_1608Metric,-47.10202,13.952255,163.5,top
C5,0.1uF,C_0603_1608Metric,-48.855889,-5.13496,-174.0,top
C6,0.1uF,C_0603_1608Metric,-43.17189,-23.440425,-151.5,top
C7,0.1uF,C_0603_1608Metric,-30.915365,-38.177294,-129.0,top
C8,0.1uF,C_0603_1608Metric,-13.952255,-47.10202,-106.5,top
C9,0.1uF,C_0603_1608Metric,5.13496,-48.855889,-84.0,top
D1,WS2812B,WS2812B 5.0x5.0mm,0.0,48.25,0.0,top
D10,WS2812B,WS2812B 5.0x5.0mm,18.464475,-44.577187,-157.5,top
D11,WS2812B,WS2812B 5.0x5.0mm,34.117902,-34.117902,-135.0,top
D12,WS2812B,WS2812B 5.0x5.0mm,44.577187,-18.464475,-112.5,top
D13,WS2812B,WS2812B 5.0x5.0mm,48.25,-0.0,-90.0,top
D14,WS2812B,WS2812B 5.0x5.0mm,44.577187,18.464475,-67.5,top
D15,WS2812B,WS2812B 5.0x5.0mm,34.117902,34.117902,-45.0,top
D16,WS2812B,WS2812B 5.0x5.0mm,18.464475,44.577187,-22.5,top
D2,WS2812B,WS2812B 5.0x5.0mm,-18.464475,44.577187,22.5,top
D3,WS2812B,WS2812B 5.0x5.0mm,-34.117902,34.117902,45.0,top
D4,WS2812B,WS2812B 5.0x5.0mm,-44.577187,18.464475,67.5,top
D5,WS2812B,WS2812B 5.0x5.0mm,-48.25,-0.0,90.0,top
D6,WS2812B,WS2812B 5.0x5.0mm,-44.577187,-18.464475,112.5,top
D7,WS2812B,WS2812B 5.0x5.0mm,-34.117902,-34.117902,135.0,top
D8,WS2812B,WS2812B 5.0x5.0mm,-18.464475,-44.577187,157.5,top
D9,WS2812B,WS2812B 5.0x5.0mm,0.0,-48.25,180.0,top
