Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,89.5,-115.0,0.0,bottom
C2,10uF,C_0603_1608Metric,89.5,-120.5,0.0,bottom
C3,1.0uF,C_0603_1608Metric,78.912259,-159.761948,135.0,bottom
C4,22uF,C_0603_1608Metric,89.495,-129.26,270.0,bottom
C5,2.2uF,C_0603_1608Metric,69.995,-159.76,0.0,bottom
C8,10uF,C_0603_1608Metric,89.5,-135.875,270.0,bottom
R4,10K,R_0603_1608Metric,67.455,-150.525,180.0,bottom
R5,330,R_0603_1608Metric,69.995,-158.26,0.0,bottom
R6,1.5K,R_0603_1608Metric,88.5,-117.675,90.0,bottom
R7,680,R_0603_1608Metric,90.5,-117.675,90.0,bottom
R8,1.2K,R_0603_1608Metric,92.5,-117.675,90.0,bottom
R9,10K,R_0603_1608Metric,69.995,-155.26,180.0,bottom
R10,100,R_0603_1608Metric,69.995,-156.76,180.0,bottom
R12,1K,R_0603_1608Metric,85.9,-132.675,90.0,bottom
R13,10,R_0603_1608Metric,89.5,-132.675,270.0,bottom
R14,330,R_0603_1608Metric,87.7,-132.675,270.0,bottom
R15,1.2K,R_0603_1608Metric,91.3,-132.675,90.0,bottom
