Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,330,R_0805_2012Metric,120.35,-92.45,0.0,top
R2,330,R_0805_2012Metric,124.85,-94.99,180.0,top
R3,330,R_0805_2012Metric,124.85,-92.45,180.0,top
R4,330,R_0805_2012Metric,124.85,-102.61,180.0,top
R5,330,R_0805_2012Metric,124.85,-100.07,180.0,top
R6,330,R_0805_2012Metric,89.063,-105.15,180.0,top
R7,330,R_0805_2012Metric,83.983,-102.61,0.0,top
R8,330,R_0805_2012Metric,83.983,-105.15,0.0,top
R9,330,R_0805_2012Metric,83.983,-94.99,0.0,top
R10,330,R_0805_2012Metric,83.983,-97.53,0.0,top
